Date,Year,Aircraft,Crash location,Total fatalities,Primary Weather,Matched Keywords,Circumstances
1931-12-13,1931,De Havilland DH.60 Moth,Broxbourne Hertfordshire,1,Rain,rain,"The pilot George G. Tomlin was performing a local training flight out from Broxbourne Airport. While descending to the airfield, at a height of 1,000 feet, the aircraft entered an uncontrolled descent and crashed, bursting into flames. The pilot was killed."
1931-12-15,1931,Fokker Universal,Peace River Alberta,0,Snow/Ice,ice,"While taking off from the icy Peace River, the aircraft went through the ice and sank. There were no casualties."
1931-12-19,1931,De Havilland DH.60 Moth,Beacon Hill Wiltshire,2,Rain,"rain, ice","The crew departed RAF Boscombe Down on a training mission. En route, the aircraft crashed in unknown circumstances, killing both pilots. Crew: F/Lt George Justice Southam, F/O George Walter Lawson."
1931-12-19,1931,Stearman 4,Dunnville Ontario,0,Fog/Cloud,fog,"While performing a mail flight, the pilot encountered foggy conditions and was unable to locate his position. Due to fuel shortage, he eventually decided to abandon the aircraft and bailed out. The aircraft crashed in a field and was destroyed while the pilot was unhurt."
1931-12-24,1931,Avia BH-25,Stolzalpe Styria,0,Rain,"rain, snow, ice","The aircraft departed Vienna-Aspern Airport on a cargo flight to Venice with two crew members on board. En route, the pilot got lost due to snow falls. He attempted an emergency landing when the airplane crashed in a hilly terrain near Stolzalpe. The aircraft was destroyed and both crew members walked away for two days before finding help."
1932-01-21,1932,Stinson SM-2/SM-7/SM-8,Rockford Illinois,1,Fog/Cloud,"fog, visibility","Shortly after takeoff from Rockford Airport, the pilot lost his orientation due to poor visibility caused by foggy conditions. He decided to bail out and abandoned the aircraft. Doing so, he struck the stabilizer and was later found dead. Out of control, the aircraft dove into the ground and crashed in Calvin Park, a district of Rockford. There were no casualties on the ground."
1932-01-27,1932,Polikarpov U-2,Tambov Tambov oblast,2,Rain,rain,"The crew (one instructor and one cadet) departed Tambov for a local training flight. While flying on its back at an altitude of 800 metres, the airplane entered an uncontrolled descent and crashed near the runway. Both occupants were killed."
1932-01-29,1932,Stinson SM-6000,Lebec California,8,Snow/Ice,"snow, visibility","The three engine airplane departed Bakersfield on a flight to Los Angeles, carrying seven passengers and one pilot. En route, weather conditions deteriorated and the visibility was poor due to heavy snow falls. The pilot decided to return to Bakersfield when he lost control of the airplane that crashed in a mountainous area located between Lebec and Fort Tejon, bursting into flames. The wreckage was found a week later and all eight occupants were killed. Crew: Joseph Victor Sandblom, pilot Passengers: Frank Dewar, Spencer W. Swan, J. H. Polhemus, W. H. Smith, Nita McGrath, Margaret A. Fickeisen, Marie Sweeny Combs."
1932-01-29,1932,De Havilland DH.80 Puss Moth,Gandesa Catalonia,2,Fog/Cloud,"fog, visibility","En route, the pilot encountered poor visibility due to foggy conditions. The single engine airplane impacted the slope of a mountain located near Gandesa and was destroyed. Both occupants, the Swiss pilot Albert Klugg and his wife were killed."
1932-02-02,1932,Stearman C-3,Marcellus Michigan,1,Snow/Ice,snow,"While cruising at night on a mail flight from Chicago to Kalamazoo, the pilot encountered poor weather conditions with heavy snow falls. He decided to bail out and abandoned the aircraft that entered a dive and crashed in an open field. The pilot was found 17 hours later, seriously injured. He died from his injuries two days later."
1932-02-02,1932,Boeing 40,Rio Vista California,1,Snow/Ice,snow,"While cruising at night on a mail flight from Oakland to Reno, the pilot encountered poor weather conditions with heavy snow falls. The airplane went out of control and crashed, killing the pilot, sole on board."
1932-02-07,1932,Boeing 40,Knight Wyoming,1,Snow/Ice,snow,"While cruising at night on a mail flight from Salt Lake City to Cheyenne, the pilot encountered poor weather conditions with heavy snow falls. Control was lost and the airplane crashed in a field located 6 miles east of Knight. The pilot Paul 'Red' Andret was killed."
1932-02-08,1932,De Havilland DH.60 Moth,Bandung West Java,1,Rain,rain,"The pilot Raden Mas Soetardjo was performing a local training flight out from Bandung-Andir Airfield. Shortly after takeoff, the airplane went out of control and crashed. The pilot was killed and the aircraft was destroyed."
1932-02-10,1932,Keystone LB-5,Honolulu Hawaii,0,Rain,rain,"The crew was engaged in a training exercise off Oahu Island when an engine failed in flight. The pilot ditched the aircraft some 50 miles south of Honolulu. While all five occupants were rescued, the aircraft was sank and was lost."
1932-02-15,1932,Fairey III,Leuchars AFB Fife,2,Rain,rain,"The crew departed RAF Leuchars on a local training flight. While flying in the vicinity of the airbase, the aircraft collided with a RAF Avro 504N registered J8509. While the crew of the Avro was able to return to RAF Leuchars and to complete a safe landing, the Fairey entered a dive and crashed, killing both crew members. Crew: F/O Herbert George Hicks, AC1 Richard Beattie."
1932-02-17,1932,Keystone LB-3,March AFB California,0,Rain,rain,"The crew departed March AFB on a local training flight. While in the vicinity of the airbase, the crew was forced to make an emergency landing for unknown reasons. The aircraft crash landed in a field located 2 miles southeast of the airbase. All five occupants evacuated safely and the aircraft was damaged beyond repair."
1932-02-19,1932,De Havilland DH.80 Puss Moth,Ruvo di Puglia Apulia,0,Fog/Cloud,"fog, visibility","Brothers Leslie and Kenneth Hamilton were engaged in a flight from England to Australia. The crew departed Lympne Airport on February 18 bound for the south. While overflying Apulia, weather conditions worsened and the visibility was poor due to fog. The aircraft impacted a hill and was damaged beyond repair. Both occupants were injured."
1932-02-23,1932,Junkers G.24,Nijnetambovskoye Khabarovsk Krai,16,Fog/Cloud,visibility,"The airplane departed Okha on a flight to Khabarovsk with intermediate stops in Nikolayevsk-on-Amur and Nijnetambovskoye. While descending to Nijnetambovskoye, the pilot encountered marginal weather conditions. Because the visibility was limited, he reduced his altitude to minimum. On final approach, at a height of 50 metres, the right wing failed and detached. The airplane nosed down and crashed in a pasture. All 16 occupants were killed."
1932-02-27,1932,Latécoère 28,Guarapari Espírito Santo,3,Rain,"rain, storm, thunder","While flying along the Brazilian coast, the crew encountered poor weather conditions with thunderstorm activity, heavy rain falls and turbulences. Control was lost and the airplane crashed into the ocean off Guarapari. Few debris and all three dead bodies were found on a beach off Sarita near Setiba four days later, on March 2. Crew: Pierre Barbier, pilot, Victor Hamm, pilot, Georges Gourbeyre, radio navigator."
1932-02-29,1932,Ryan M-1/M-2,Les Méchins Quebec,0,Snow/Ice,ice,The pilot was forced to attempt an emergency on the ice St Lawrence River. All occupants evacuated safely while the aircraft drifted away and later sank off the village of Les Méchins.
1932-03-04,1932,De Havilland DH.60 Moth,Masterton Greater Wellington Regional Council,0,Rain,rain,The pilot departed Masterton on a local solo training mission. The accident occurred in unknown circumstances. The pilot was injured and the airplane was destroyed.
1932-03-07,1932,Kalinin K-4,Novopavlovsk Stavropol Krai,2,Fog/Cloud,"fog, visibility","The crew departed Kharkiv to ferry the airplane to its base in Tiflis with an intermediate stop in Mineralnye Vody. After takeoff from Mineralnye Vody Airport, the crew climbed to an altitude of 300-350 metres then continued to the southeast, following the railway track. About 20 minutes into the flight, weather conditions worsened and the visibility was poor due to fog. Rather than returning to Mineralnye Vody, the captain decided to continue and reduced his altitude. He continued vertical to the railway line, sometimes to its left sometimes to its right. Too low, the airplane struck the ground and crashed near the Apollonskaya Station in Novopavlovsk. One mechanic was seriously injured while both other occupants were killed."
1932-03-08,1932,Stinson SM-6000,Saint Louis-Lambert Missouri,3,Rain,"rain, wind","The crew (an instructor and four student pilots) was performing night training exercises at Saint Louis-Lambert Airport. On approach, the crew failed to realize his altitude was too low. The aircraft collided with a windmill and crashed in a field. Three pilots were killed and two others were seriously injured."
1932-03-12,1932,Junkers W.33,Kagianagami Lake Ontario,1,Snow/Ice,snow,"While approaching Kagianagami Lake in heavy snow falls, the airplane crashed and burned. The pilot Godfrey Webster Dean was killed."
1932-03-17,1932,Avro 504,Wittering AFB Cambridgeshire,2,Rain,rain,"The crew was completing a local training sortie out from RAF Wittering. While flying in the vicinity of the airbase, the crew lost control of the airplane that crashed in a field located in Pilsgate. Both crew members were killed. Crew: Sgt Joseph Ivan Richardson, Sgt Noel William Nicholls."
1932-03-19,1932,Fokker F10,Calimesa California,7,Fog/Cloud,"fog, visibility","En route from Phoenix to Los Angeles, the crew encountered poor visibility due to foggy conditions. The pilot reduced his altitude to maintain a visual contact with the ground when the airplane impacted power cables and crashed in an apple orchard. Six occupants were killed and a passenger was seriously injured. He died from his injuries the following day."
1932-03-20,1932,Focke-Wulf A.16,Lewin Brzeski Opole Voivodeship (Opolskie),1,Storm/Wind,wind,"The single engine airplane was engaged in a local joyride in Löwen (now Lewin Brzeski), carrying three passengers and one pilot, Johannes Hentschel. For unknown reasons, he decided to takeoff from another area in the field, with a light and non significant wind component. In a relative muddy ground, the takeoff distance was too short when the pilot realized the presence of a ditch. He attempted to takeoff but the aircraft' speed was too low. It nosed down, crashed and came to rest upside down. All three passengers escaped with minor injuries while the pilot was seriously injured. He died from his injuries the following evening."
1932-03-20,1932,De Havilland DH.80 Puss Moth,Lucknow Uttar Pradesh,0,Snow/Ice,ice,"The pilot was taking part to the Viceroy’s Cup Race. While approaching Lucknow, the airplane struck a pylon and crashed. The pilot was injured and the aircraft was destroyed."
1932-03-21,1932,Northrop Alpha 3,Steubenville Ohio,2,Snow/Ice,snow,"While on a night cargo flight from Columbus to Pittsburgh, the pilot encountered poor weather conditions with heavy snow falls. He decided to bail and abandoned the aircraft when the cords of his parachute got stuck in the fuselage. The airplane entered a dive and crashed in the Ohio River in Steubenville. The pilot was killed and the passenger female was never recovered."
1932-03-21,1932,De Havilland DH.80 Puss Moth,Ottawa-Macdonald-Cartier Ontario,1,Snow/Ice,icing,"The crew was performing a test flight and was practicing stalls when a wing failed. The aircraft dove into the ground and crashed in an open field. The pilot A. Anderson was killed while the copilot A. L. James was seriously injured. Built in 1930, the aircraft totalized 55h25 flying hours. The test mission was completed on behalf of the CGAO."
1932-03-25,1932,De Havilland DH.60 Moth,Helsinki Uusimaa,1,Rain,rain,"The crew was performing a local training flight when the airplane stalled and crashed in the harbor of Helsinki, bursting into flames. The pilot was seriously injured and the mechanic was killed."
1932-03-29,1932,Farman F.190,Rutbah Wells (Ar Rutbah) Al-Anbar (<U+0627><U+0644><U+0623><U+0646><U+0628><U+0627><U+0631>),3,Storm/Wind,storm,"En route from Damascus to Baghdad, the crew encountered poor weather conditions with a sandstorm. The pilot lost his orientation when the airplane impacted ground and crashed near Tell-Farida, in the region of Rutbah Wells, some 300 km west of Baghdad. The aircraft came to rest upside down and was destroyed. All three occupants were killed. The crew and passenger were performing a special flight on behalf of The League of Nations (Société des Nations). The passenger was the Swiss Colonel de Reynier who was in charge to fix the border between Syria and Iraq. Crew: Julien Risser, pilot, Mr. Huber, mechanic. Passenger: Colonel de Reynier."
1932-03-31,1932,Boeing 95,Bedford Ohio,1,Rain,"rain, snow","While on a night mail flight from New York to Cleveland, the pilot encountered poor weather conditions with rain and snow. He reduced his altitude to establish a visual contact with the ground when the aircraft crashed in a farm area near Bedford. The aircraft was destroyed and the pilot, sole on board, was killed."
1932-04-28,1932,De Havilland DH.60 Moth,Detroit Michigan,0,Storm/Wind,wind,"The single engine airplane departed Walkerville, in the suburb of Windsor, Ontario, for a local joyride. In unknown circumstances, it crashed in a field located south of Detroit. Both occupants were injured and the aircraft was damaged beyond repair."
1932-04-29,1932,Avro 504,Waterfoot Antrim,1,Rain,rain,"The pilot departed Belfast-Aldergrove Airport on a local training sortie. While cruising northwest of Belfast at low altitude, the airplane impacted the slope of Mt Cloughcorr located near Waterfoot. The aircraft was destroyed and the pilot John Frederick Sutton of the 502th Squadron was killed."
1932-05-02,1932,Fokker-Grulich F2,Pötzen Lower Saxony,0,Fog/Cloud,"fog, visibility","While approaching Hanover Airport from the southwest, the pilot Heumann encountered poor visibility due to foggy conditions. Too low, the airplane contacted trees and crashed in a wooded area located on the slope of Mt Süntel, near Pötzen, some 35 km southwest from Hanover Airport. All five occupants were injured and the aircraft named 'Eider' was destroyed."
1932-05-04,1932,De Havilland DH.60 Moth,Campo dos Afonsos AFB Rio de Janeiro,1,Rain,rain,The crew departed Campo dos Afonsos AFB on a local training flight. The airplane crashed in unknown circumstances near the airbase. A crew member was killed and a second was injured.
1932-05-06,1932,Avro 504,Wittering AFB Cambridgeshire,1,Rain,rain,"The pilot was performing a local solo training flight on formation with a second RAF Avro 504N registered K1042. While changing direction, K1050 collided with K1042. Both aircraft dove into the ground and crashed in a field near the airbase. Both pilots were killed."
1932-05-06,1932,Avro 504,Wittering AFB Cambridgeshire,1,Rain,rain,"The pilot was performing a local solo training flight on formation with a second RAF Avro 504N registered K1050. While changing direction, K1050 collided with K1042. Both aircraft dove into the ground and crashed in a field near the airbase. Both pilots were killed."
1932-05-12,1932,Potez 25,Nürensdorf Zurich,2,Rain,"rain, visibility","While flying at low altitude in limited visibility due to marginal weather conditions, the aircraft crashed on hilly terrain in Nürensdorf, some 6 km north of Dübendorf Airport. Both crew members were killed."
1932-05-15,1932,Stearman C-3,Jerome Arizona,2,Rain,rain,"The single engine airplane departed Cottonwood on a private flight with two people on board. En route, the airplane went out of control and crashed in hilly terrain in Jerome. Both occupants William Andrews Clark and Jack Lynch were killed."
1932-05-16,1932,Boeing 40,Burbank California,3,Fog/Cloud,"fog, visibility","On approach to Burbank Airport, the pilot encountered poor visibility due to the night and foggy conditions. On final, the airplane went out of control and crashed, killing all three occupants."
1932-05-16,1932,Junkers A.50,Berlin Berlin,1,Rain,rain,Crashed in unknown circumstances in Berlin-Adlershof while on a training flight. The pilot Entemeier was seriously injured and the observer Ludwig Wunsch was killed.
1932-05-21,1932,Lockheed 8 Sirius/Altair,Rome-Urbe Lazio,2,Snow/Ice,ice,"On final approach to Rome-Urbe Airport, at a height of about 120 metres and at a distance of 800 metres from the runway threshold, the pilot completed a turn when he lost control of the airplane that crashed in a field, bursting into flames. The aircraft named 'Justice for Hungary' was destroyed and both aviators György Endresz (pilot) and Julius Bittay (mechanic) were killed."
1932-05-22,1932,Desoutter I/II,Stranrear Wigtownshire,2,Fog/Cloud,"fog, visibility","En route from Londonderry to Croydon, the pilot encountered poor visibility due to fog. While flying too low, the airplane impacted a knoll and crashed in a pasture. The aircraft was destroyed and both occupants Irwin Napier Colin Clarke (pilot) and Ernest Victor Barton were killed."
1932-05-25,1932,Farman F.190,Veroli Lazio,4,Fog/Cloud,visibility,"On 17 May 1932, the French ship named 'Georges Philippar' burned and sank in the Gulf of Aden. The survivors were evacuated to Brindisi and the French daily newspaper 'L'Excelsior' asked several pilots and crews to repatriate in France the couple Sarah Suzanne Picard and Alfred Lang-Willar, both friends of the French writer Albert Londres who died in this shipwreck. On the 25th of May 1932, both pilots Marcel Goulette and Lucien Moreau accepted to fly to Brindisi to repatriate this couple to Paris. En route, while flying east of Frosinone, the crew encountered low visibility due to mist and did not realized his altitude was too low. The airplane impacted the slope of Mt Ernici located near Veroli. SThe wreckage was found two days later and all four occupants were killed. Crew: Marcel Goulette, pilot, Lucien Moreau, pilot. Passengers: Sarah Suzanne Picard, Alfred Lang-Willar."
1932-06-06,1932,Potez 32,Avignon-Pujaut Vaucluse,4,Storm/Wind,wind,"On approach, to Avignon-Pujaut Airfield, the pilot encountered gusty winds when control was lost. The airplane crashed on a grassy area and was destroyed. All four occupants were killed. They were taking part to a Tour de France of Tourism Aircraft. Crew: Raymond Parant, pilot. Passengers: Jean Cailleux, judge, André Boulat, judge, Georges-Joseph Lévitan, journalist."
1932-06-09,1932,Avro 504,Digby Lincolnshire,1,Rain,rain,"The pilot departed Digby on a solo training flight. In unknown circumstances, the single engine aircraft collided with another RAF aircraft registered F8812. Following the collision, the Avro entered an uncontrolled descent and crashed in a pasture between Bloxholme and Digby. The pilot was killed."
1932-06-23,1932,De Havilland DH.60 Moth,Kauhava Ostrobothnia,1,Rain,rain,"The crew was performing a local training mission out from Kauhava Airport. In flight, control was lost and the airplane crashed in a field. While the pilot was seriously injured, the mechanic was killed."
1932-07-10,1932,Junkers F.13,Otrokovice Zlín Region (Zlínský kraj),2,Snow/Ice,"ice, fog","The aircraft departed Otrokovice-Letište Batov Airport at 0550LT bound for Basel, Switzerland, with one pilot and one passenger on board. Shortly after takeoff, the pilot lost his orientation due to foggy conditions and maybe elected to return. Eight minutes after takeoff, the airplane crashed in a field located 2 km from the airport, broken in two and partially destroyed. Both occupants were killed. The passenger was Tomáš Bata, a Czech entrepreneur, founder of the Bata Shoes Company, one of the world's biggest multinational retailer, manufacturer and distributor of footwear and accessories. He was flying to Basel to visit one of his factory based in Möhlin, Argau. The aircraft was flying with the title 'Deutsche Schuh AG Berlin'. Crew: Jindrich Broucek, pilot. Passenger: Tomáš Bata."
1932-07-10,1932,Boeing 80,Sterling Illinois,0,Rain,"rain, storm, thunder","En route from Chicago to Oakland, while cruising over the area of Sterling, west of Chicago, the crew encountered poor weather conditions with heavy rain falls, turbulences and thunderstorm activity. The captain decided to attempt an emergency landing in an open field when, upon touchdown, the airplane went out of control and crashed. All eight occupants evacuated safely."
1932-07-16,1932,Ford 5,El Plomo Región Metropolitana de Santiago,9,Snow/Ice,"snow, visibility","While cruising in bad weather conditions east of Santiago de Chile over the Andes Mountains, the crew encountered poor weather conditions with low visibility due to heavy snow falls. The aircraft impacted a mountain slope and crashed near El Plomo. SAR operations were initiated but eventually suspended as no trace of the aircraft nor the 9 occupants was found. Twenty months later, in March 1934, ramblers discovered the wreckage in an uninhabited area. The aircraft was named 'San José'."
1932-07-27,1932,De Havilland DH.80 Puss Moth,Hindhead Surrey,3,Storm/Wind,"storm, thunder","En route from Heston to Hamble, the pilot encountered poor weather conditions with thunderstorm activity and turbulences. The aircraft entered an uncontrolled descent and crashed in Devil's Jump, near Hindhead. All three occupants were killed. Crew: Bruce Bossom, pilot. Passengers: Emily Bossom (pilot's mother), Count Otto Zierbach-Fürsteneau (aka Prince Otto Erbach)."
1932-07-29,1932,Udet U12 Flamingo,Munich Bavaria,1,Rain,"rain, ice","The crew was engaged in a training mission over Munich. In flight, in unknown circumstances, the single engine aircraft collided with a Deutsche Lufthansa Junkers JU.52/3mce registered D-2201 and named 'Oswald Boelke'. While the JU.52 was able to land safely in Munich, was repaired and returned later into service, the crew of the Udet was forced to attempt an emergency landing when the airplane crashed in a field. A crew member was killed and the second one was injured."
1932-08-01,1932,De Havilland DH.60 Moth,Armthorpe South Yorkshire,2,Rain,rain,"The crew was completing a local training flight at Armthorpe Airfield. On approach, at a height of about 500 feet, the airplane went out of control and crashed. Two occupants were killed and a third was seriously injured."
1932-08-16,1932,Fokker F7,Tabanan Bali,0,Rain,rain,"The crew and the passenger were prospecting new routes to Kupang, Sunda Island, and were also distributing flyers to locals. While approaching Tabanan at an altitude of 1,250 metres, the pilot noted the presence of a ridge in front of him. Due to the topography of the terrain, it was not possible for him to make a U turn. He increased engine power but the airplane was unable to gain height so it impacted trees, stalled and crashed in a wooded area. All four occupants were rescued and the pilot was slightly injured."
1932-08-26,1932,Avro 504,Halton AFB Buckinghamshire,0,Rain,rain,"The crew was performing a local training flight out from RAF Halton. On approach, the airplane was too low, hit a fence and crashed, coming to rest upside down. Both pilots were injured."
1932-08-27,1932,Morane-Saulnier M.S.60 Moth,Saint-Genès-Champanelle Puy-de-Dôme,1,Storm/Wind,"storm, thunder","The pilot Etienne Michelin departed Clermont-Ferrand-Aulnat Airport at the end of the afternoon for a private flight, heading to the Puys Mountain Range. En route, he encountered poor weather conditions with thunderstorm activity. The airplane went out of control and crashed in a prairie. The pilot, sole on board, was killed."
1932-08-31,1932,Junkers G.23,Tubbergen Overijssel,2,Fog/Cloud,visibility,"The crew departed Amsterdam-Schiphol Airport at 2320LT on August 20, bound for Malmö with two intermediate stops in Hanover and Copenhagen. While flying over Almelo, the crew encountered technical problems with the engine n°3 and informed ground of his position and situation. The crew reduced his altitude and attempted an emergency landing in a prairie in Tubbergen. At night and low visibility, the airplane struck a chimney and crashed near a farm. The aircraft was destroyed and both crew members were killed. Crew: Karl Bernhard Liljeberg, pilot, Mr. Uttergard, radio operator."
1932-09-08,1932,Fokker F10,Salt Flat Texas,3,Fog/Cloud,"fog, visibility","While cruising some 80 miles east of El Paso on a cargo flight to Dallas, the crew encountered foggy conditions. In low visibility, the aircraft hit a mountain slope located near Salt Flat and was destroyed by impact forces. All three crew members were killed."
1932-09-13,1932,Sikorsky S-38,Angmagssalik (Tasiilaq) Kommuneqarfik Sermersooq,0,Snow/Ice,"snow, ice","Owned by the American Lt Colonel George R. Hutchinson, the seaplane was on its way from New York to London on a private and nonstop transatlantic flight with seven passengers and a crew of two on board. En route, the crew encountered snow falls and the aircraft was too heavy due to snow accumulation. The pilot attempted an emergency landing off the Greenland coast but after landing, the airplane struck an iceberg and was seriously damaged. Several distress calls were sent but the aircraft moved on rough seas. The aircraft was eventually localized by the crew of the British fishing trawler named 'Lord Talbot' on September 18, five days after the accident, some 40 miles southwest of Angmagssalik (Tasiilaq). All nine occupants were rescued and repatriated to Europe. Lt Colonel Hutchinson was travelling with his wife Blanche and his two girls, Kathryn (8) and Janet Lee (6). The aircraft was lost and abandoned as a wing was torn off. Crew: Lt Colonel George R. Hutchinson +1. Passengers: Blanche Hutchinson, Kathryn Hutchinson, Janet Lee Hutchinson, Peter Redpath, Joseph Ruff, Gerald Altfilisch, Norman Alley, American filmmaker."
1932-09-14,1932,Junkers A.20,Beylikköprü Central Anatolia Region (Iç Anadolu Bölgesi),1,Rain,rain,The pilot was engaged in a solo training flight when the airplane crashed in unknown circumstances in Beylikköprü. The pilot was killed.
1932-09-15,1932,De Havilland DH.60 Moth,Hjarbæk Midtjylland,0,Rain,rain,The crew was completing a training mission when the airplane crashed in unknown circumstances in the Hjarbæk Lake off Hjarbæk. Both crew members were rescued.
1932-09-17,1932,Lioré-et-Olivier LeO H-213,Croydon Surrey,1,Fog/Cloud,"fog, visibility","The crew departed Paris-Le Bourget Airport at 0525LT bound for London. On approach to Croydon Airport, the crew encountered poor visibility due to foggy conditions. The pilot reduced his altitude to establish a visual contact with the ground when the airplane impacted a tree and crashed in the parking lot of an Hotel located in Selsdon Park, Surrey. The copilot was seriously injured and the captain Gustave Demeuldre was killed."
1932-09-17,1932,Farman F.303,Rutbah Wells (Ar Rutbah) Al-Anbar (<U+0627><U+0644><U+0623><U+0646><U+0628><U+0627><U+0631>),0,Fog/Cloud,"visibility, storm","En route from Marseille to Baghdad, while cruising at night, the crew encountered poor visibility due to a sand storm. The captain attempted an emergency landing when the aircraft crashed in a desert area located some 130 km from Rutbah Wells. The airplane was damaged beyond repair and all seven occupants evacuated safely."
1932-09-18,1932,De Havilland DH.80 Puss Moth,Byron Bay New South Wales,3,Storm/Wind,wind,"While cruising at a height of 100 feet over the Burringbar Mountain Range, the pilot encountered strong winds and turbulences. He initiated a turn to the right when the left wing and the rudder detached. Out of control, the aircraft crashed and was destroyed. All three occupants were killed. Crew: Ralph Virtue, pilot. Passengers: Les Holden, Dr. George R. Hamilton."
1932-09-20,1932,De Havilland DH.60 Moth,Cambridge Cambridgeshire,0,Rain,rain,"The crew departed Cambridge on a local training flight. En route, he was forced to attempt an emergency landing when the airplane crashed in Fen Ditton, some 4 miles from Cambridge. The airplane was destroyed and both occupants were injured."
1932-09-27,1932,Boeing 95,Snow Shoe Pennsylvania,0,Snow/Ice,"snow, fog, visibility","En route from Bellefonte to Cleveland, the pilot encountered poor visibility due to foggy conditions. While flying too low, the airplane impacted trees and crashed on the slope of a mountain located near Snow Shoe. The aircraft was destroyed by a post crash fire and the pilot was injured."
1932-09-27,1932,Junkers F.13,Grado Friuli-Venezia Giulia,2,Snow/Ice,"ice, storm, thunder","En route from Venice to Trieste, weather conditions deteriorated with thunderstorm. The pilot apparently attempted to ditch the airplane off Grado when it impacted the harbor wall and crashed. The mechanic and a passenger were killed while the pilot and a second passenger were seriously injured."
1932-09-27,1932,De Havilland DH.60 Moth,Bjärlöv Skåne,0,Rain,rain,"The crew departed Ljungbyhed on a training mission. En route, the airplane crashed in unknown circumstances in Bjärlöv, some 10 km north of Kristianstad. Both crew members were injured and the aircraft was destroyed."
1932-10-01,1932,Desoutter I/II,Edenbridge Kent,0,Fog/Cloud,visibility,"The single engine airplane departed Bristol-Filton Airport on a flight to Maidstone, carrying two female passengers and one pilot. En route, the pilot encountered poor visibility and was unable to fix his bearings. He reduced his altitude and attempted to land in a pasture when, from a height of 30 feet, the airplane nosed down and crashed. All three occupants were injured and the airplane was destroyed."
1932-10-21,1932,New Standard D-27,Somerset Pennsylvania,0,Rain,rain,"The pilot departed Washington DC on a mail flight to Cleveland. While cruising over the Allegheny Mountain Range, the aircraft caught fire for unknown reasons. The pilot bailed out and abandoned the aircraft that entered a dive and crashed in a hilly and wooded terrain located near Somerset. The aircraft was destroyed and the pilot was uninjured."
1932-10-27,1932,Savoia-Marchetti SM.62,Kulebyakino Irkutsk oblast,5,Snow/Ice,"snow, visibility","The airplane departed Irkutsk on a cargo flight to Bodaibo, carrying four passengers and a crew of three. While cruising some 40 km from Kirensk, weather conditions worsened and the visibility was poor due to heavy snow falls. The captain reduced his altitude, apparently to maintain a visual contact with the ground. At a height of about 20-30 metres, the airplane went out of control and crashed in the Lena River near the village of Kulebyakino, some 15 km southwest of Kirensk. Two passengers were injured while five other occupants were killed."
1932-10-29,1932,Junkers W.33,North Sea All World,2,Snow/Ice,"ice, wind","The crew departed Croydon Airport at 2055LT on a night cargo service to Berlin with an intermediate stop in Cologne. At that time, weather conditions were considered as good, except a strong west wind up to 50 mph. Less than an hour into the flight, while cruising over the North Sea, the airplane crashed in unknown circumstances. A wheel was found the following day by the crew of a Belgian ship but no trace of the aircraft named 'Marmara' nor the two crew members was ever found. Crew: Wilhelm Cuno, pilot, Werner Drebes, radio operator."
1932-10-29,1932,De Havilland DH.80 Puss Moth,Grenoble Isère,2,Rain,rain,"While cruising southeast of Grenoble at night, the aircraft collided with a high tension pylon and crashed in a hilly terrain located in the National Park of Écrins. Both occupants Nathan and George Montefiore were killed."
1932-11-02,1932,Junkers F.13,Echterspfahl Bavaria,5,Fog/Cloud,cloud,"The single engine airplane departed Nuremberg Airport at 1155LT on a flight to Frankfurt, carrying three passengers and two crew members. While approaching Frankfurt, the aircraft was flying low in clouds when it impacted trees and crashed in a dense wooded area located in Echterspfahl, some 56 km southeast of Frankfurt Airport. All five occupants were killed. Crew: Mr. Schulz, Mr. Frank."
1932-11-05,1932,Lioré-et-Olivier LeO 20,Digny Eure-et-Loir,0,Fog/Cloud,"fog, visibility","The crew departed Istres on a flight to Chartres with an intermediate stop in Rochefort. While approaching Chartres from the northwest at night, the crew encountered poor visibility due to foggy conditions. While attempting an emergency landing, the airplane crashed in an open field located in Digny, some 30 km northwest of Chartres. All four crew members escaped with minor injuries and the aircraft was damaged beyond repair. Crew: Lt Gaillard, Sgt/C Chaume, Sgt/C Vassieu, Adj/C Boulanger."
1932-11-19,1932,Pitcairn PA-6 Mailwing,Edgemoor South Carolina,0,Fog/Cloud,"fog, visibility","The pilot, sole on board, departed Richmond on a night mail flight to Jacksonville. En route, weather conditions deteriorated and the visibility was poor due to foggy conditions. The pilot got lost and because the aircraft ran out of fuel, the pilot decided to bail out and abandoned the airplane that crashed in a pasture. The pilot was found alive."
1932-12-02,1932,Avro 504,Rio de Janeiro Rio de Janeiro,2,Rain,rain,The single engine airplane departed Rio de Janeiro on a local training flight. It crashed in unknown circumstances into the Bay of Guanabara off the Governor Island. Both crew members were killed.
1932-12-04,1932,De Havilland DH.60 Moth,Netley Hampshire,2,Rain,rain,"The crew departed Hamble on a local training flight. En route, the airplane entered an uncontrolled descent and crashed in the Southampton Water off Netley. A crew member was seriously injured and the second occupant was killed. The only survivor died from his injuries the following day."
1932-12-10,1932,Latécoère 25,Saintes-Maries-de-la-Mer Bouches-du-Rhône,1,Fog/Cloud,"fog, visibility","The airplane departed Marseille-Marignane Airport at 0450LT bound for Barcelona. About half an hour later, the pilot encountered foggy conditions with limited visibility. He reduced his altitude in an attempt to establish a visual contact with the ground when the aircraft hit an obstacle and crashed, bursting into flames. The passenger was seriously injured and the pilot Francis Simon was killed."
